[2025-06-10 17:25:51,340] INFO in crawler_pipeline: [16/430] Downloading HTML: https://www.deeplearning.ai/the-batch/all-about-the-hollywood-actors-and-studios-deal-on-generative-ai-usage-in-films-and-tv/
[2025-06-10 17:25:51,340] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/all_about_the_hollywood_actors_and_studios_deal_on_generative_ai_usage_in_films_and_tv.html
[2025-06-10 17:25:51,345] INFO in crawler_pipeline: [17/430] Downloading HTML: https://www.deeplearning.ai/the-batch/anthropic-debuts-new-claude-4-sonnet-and-claude-4-opus-models-featuring-top-benchmarks-in-coding/
[2025-06-10 17:25:51,345] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/anthropic_debuts_new_claude_4_sonnet_and_claude_4_opus_models_featuring_top_benchmarks_in_coding.html
[2025-06-10 17:25:51,350] INFO in crawler_pipeline: [18/430] Downloading HTML: https://www.deeplearning.ai/the-batch/brain-implants-paired-with-neural-network-reconstruct-speech-for-als-patient/
[2025-06-10 17:25:51,350] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/brain_implants_paired_with_neural_network_reconstruct_speech_for_als_patient.html
[2025-06-10 17:25:51,356] INFO in crawler_pipeline: [19/430] Downloading HTML: https://www.deeplearning.ai/the-batch/brain2qwerty-a-system-that-decodes-thoughts-using-brain-waves-without-surgery/
[2025-06-10 17:25:51,356] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/brain2qwerty_a_system_that_decodes_thoughts_using_brain_waves_without_surgery.html
[2025-06-10 17:25:51,361] INFO in crawler_pipeline: [20/430] Downloading HTML: https://www.deeplearning.ai/the-batch/build-career-part-5/
[2025-06-10 17:25:51,361] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/build_career_part_5.html
[2025-06-10 17:25:51,365] INFO in crawler_pipeline: [21/430] Downloading HTML: https://www.deeplearning.ai/the-batch/build-career-part-6/
[2025-06-10 17:25:51,365] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/build_career_part_6.html
[2025-06-10 17:25:51,370] INFO in crawler_pipeline: [22/430] Downloading HTML: https://www.deeplearning.ai/the-batch/building-multi-agent-systems-in-rowboats-ide/
[2025-06-10 17:25:51,370] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/building_multi_agent_systems_in_rowboats_ide.html
[2025-06-10 17:25:51,376] INFO in crawler_pipeline: [23/430] Downloading HTML: https://www.deeplearning.ai/the-batch/chatgpt-accepts-voice-image-input-output/
[2025-06-10 17:25:51,376] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/chatgpt_accepts_voice_image_input_output.html
[2025-06-10 17:25:51,381] INFO in crawler_pipeline: [24/430] Downloading HTML: https://www.deeplearning.ai/the-batch/chatgpt-may-ease-loneliness-but-increase-dependence-studies-suggest/
[2025-06-10 17:25:51,381] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/chatgpt_may_ease_loneliness_but_increase_dependence_studies_suggest.html
[2025-06-10 17:25:51,386] INFO in crawler_pipeline: [25/430] Downloading HTML: https://www.deeplearning.ai/the-batch/columbia-university-researchers-show-how-to-trick-trusting-ai-agents-with-poisoned-links/
[2025-06-10 17:25:51,386] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/columbia_university_researchers_show_how_to_trick_trusting_ai_agents_with_poisoned_links.html
[2025-06-10 17:25:51,391] INFO in crawler_pipeline: [26/430] Downloading HTML: https://www.deeplearning.ai/the-batch/compact-ai-models-redefine-efficiency-bringing-advanced-capabilities-to-everyday-devices/
[2025-06-10 17:25:51,391] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/compact_ai_models_redefine_efficiency_bringing_advanced_capabilities_to_everyday_devices.html
[2025-06-10 17:25:51,397] INFO in crawler_pipeline: [27/430] Downloading HTML: https://www.deeplearning.ai/the-batch/creative-workers-dont-want-ai-developers-to-train-models-on-their-work/
[2025-06-10 17:25:51,397] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/creative_workers_dont_want_ai_developers_to_train_models_on_their_work.html
[2025-06-10 17:25:51,401] INFO in crawler_pipeline: [28/430] Downloading HTML: https://www.deeplearning.ai/the-batch/cut-research-funding-weaken-the-nation/
[2025-06-10 17:25:51,401] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/cut_research_funding_weaken_the_nation.html
[2025-06-10 17:25:51,406] INFO in crawler_pipeline: [29/430] Downloading HTML: https://www.deeplearning.ai/the-batch/data-science-jobs-bring-high-satisfaction/
[2025-06-10 17:25:51,406] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/data_science_jobs_bring_high_satisfaction.html
[2025-06-10 17:25:51,411] INFO in crawler_pipeline: [30/430] Downloading HTML: https://www.deeplearning.ai/the-batch/deep-learning-model-identifies-high-risk-patients-from-ekg-readings/
[2025-06-10 17:25:51,411] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/deep_learning_model_identifies_high_risk_patients_from_ekg_readings.html
[2025-06-10 17:25:51,417] INFO in crawler_pipeline: [31/430] Downloading HTML: https://www.deeplearning.ai/the-batch/deepcoder-14b-preview-further-fine-tunes-reasoning-models-for-coding/
[2025-06-10 17:25:51,417] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/deepcoder_14b_preview_further_fine_tunes_reasoning_models_for_coding.html
[2025-06-10 17:25:51,421] INFO in crawler_pipeline: [32/430] Downloading HTML: https://www.deeplearning.ai/the-batch/deepminds-alphafold-3-enhances-3d-biomolecular-modeling/
[2025-06-10 17:25:51,421] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/deepminds_alphafold_3_enhances_3d_biomolecular_modeling.html
